Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Status Category,Status Category Changed
[FE-003] Configure Axios Client and React Router Layout Shells,FE-003,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Frontend Engineer
Master Task: ATC-105
Sprint: Sprint 1 - Foundation
Priority: High
Dependencies: None
Deliverable: AppRoutes.jsx & client.js

Description:
Cấu hình client.js, paths.js và 3 Layout shells (Dashboard, Auth, Focus).

Acceptance Criteria:
paths.js là SSOT cho toàn bộ URL; router chuyển đổi mượt mà giữa các layout.",,,,,,,,,,,,,,,Sprint 1 - Foundation,,,Frontend,,Done,
[QA-005] Test Frontend Layout Shells and Token Rendering,QA-005,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-105
Sprint: Sprint 1 - Foundation
Priority: High
Dependencies: None
Deliverable: Frontend Base Test Report

Description:
Kiểm thử giao diện layout cơ bản và tốc độ build của Vite.

Acceptance Criteria:
npm run build hoàn thành < 2s; không có lỗi CSS hay console warning.",,,,,,,,,,,,,,,Sprint 1 - Foundation,,,Quality Assurance,,Done,
[BE-003] Document Backend REST API Contracts and Data Models,BE-003,,Task,Done,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-106
Sprint: Sprint 1 - Foundation
Priority: Medium
Dependencies: None
Deliverable: API & ERD Specs

Description:
Tài liệu hóa các endpoint API, mã lỗi HTTP và thực thể CSDL trong tài liệu SRS.

Acceptance Criteria:
Đặc tả rõ 100% request/response payload và quan hệ ERD trong docs/3.Database/.",,,,,,,,,,,,,,,Sprint 1 - Foundation,,,Backend,,Done,
[FE-004] Document Frontend Component Specs and UI Interactions,FE-004,,Task,Done,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: Frontend Engineer
Master Task: ATC-106
Sprint: Sprint 1 - Foundation
Priority: Medium
Dependencies: None
Deliverable: Frontend Architecture Specs

Description:
Viết tài liệu quy chuẩn component, routing hierarchy và state management.

Acceptance Criteria:
Tài liệu FRONTEND_ARCHITECTURE.md mô tả rõ ràng 4 tầng kiến trúc và Zustand store.",,,,,,,,,,,,,,,Sprint 1 - Foundation,,,Frontend,,Done,
"[OPS-005] Document Infrastructure, Security and Environment Specs",OPS-005,,Task,Done,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: DevOps Engineer
Master Task: ATC-106
Sprint: Sprint 1 - Foundation
Priority: Medium
Dependencies: None
Deliverable: Infra & Security Specs

Description:
Xác định các thông số môi trường, bảo mật bí mật (.env.example) và ranh giới mạng.

Acceptance Criteria:
Tài liệu ranh giới bảo mật AI và cấu hình Docker chuẩn hóa.",,,,,,,,,,,,,,,Sprint 1 - Foundation,,,DevOps,,Done,
[QA-006] Define Master Test Strategy and Quality Acceptance Gates,QA-006,,Task,Done,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-106
Sprint: Sprint 1 - Foundation
Priority: Medium
Dependencies: None
Deliverable: Master Test Strategy

Description:
Thiết lập tiêu chuẩn kiểm thử, ma trận truy xuất nguồn gốc và ngưỡng chấp nhận MVP.

Acceptance Criteria:
11 files trong .agents/rules/ được đồng bộ hóa với định hướng chất lượng.",,,,,,,,,,,,,,,Sprint 1 - Foundation,,,Quality Assurance,,Done,
[DES-002] Design Teacher Registration Screen in Figma,DES-002,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Designer
Master Task: ATC-201
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-103, ATC-105
Deliverable: Figma Register Screen

Description:
Thiết kế màn hình Đăng ký tài khoản giáo viên với các trạng thái lỗi và thành công.

Acceptance Criteria:
Bản vẽ Figma hoàn chỉnh cho màn hình Register với form input, validation message và nút submit.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Design,,Done,
[FE-005] Implement Teacher Registration Form with Validation,FE-005,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Frontend Engineer
Master Task: ATC-201
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-103, ATC-105
Deliverable: RegisterForm.jsx

Description:
Xây dựng RegisterForm component với kiểm tra tính hợp lệ của email và độ mạnh mật khẩu.

Acceptance Criteria:
Form kiểm tra định dạng email và mật khẩu tối thiểu 8 ký tự trước khi gọi API.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Frontend,,Done,
[BE-004] Implement Teacher Registration API,BE-004,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-201
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-103, ATC-105
Deliverable: AuthController.java & AuthService.java

Description:
Tạo endpoint POST /api/auth/register, kiểm tra trùng email và hash mật khẩu bằng BCrypt.

Acceptance Criteria:
Trả về HTTP 201 khi thành công; trả về 400 nếu email tồn tại; mật khẩu không lưu plaintext.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Backend,,Done,
[QA-007] Test Teacher Registration and Duplicate Email Handling,QA-007,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-201
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-103, ATC-105
Deliverable: Register Test Suite

Description:
Kiểm thử tự động các kịch bản đăng ký thành công, trùng email và mật khẩu không hợp lệ.

Acceptance Criteria:
Unit test và integration test bao phủ 100% các nhánh validation và mã lỗi.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Quality Assurance,,Done,
[DES-003] Design Teacher Login Screen in Figma,DES-003,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Designer
Master Task: ATC-202
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-201
Deliverable: Figma Login Screen

Description:
Thiết kế màn hình Đăng nhập giáo viên với trạng thái loading, lỗi sai mật khẩu.

Acceptance Criteria:
Bản vẽ Figma hoàn chỉnh cho màn hình Login kèm thông báo lỗi trực quan.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Design,,Done,
[FE-006] Implement Teacher Login Form and Token Storage,FE-006,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Frontend Engineer
Master Task: ATC-202
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-201
Deliverable: LoginForm.jsx & authStore.js

Description:
Xây dựng LoginForm component và lưu trữ JWT token trong authStore.

Acceptance Criteria:
Đăng nhập thành công lưu token vào localStorage và chuyển hướng sang /workspaces.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Frontend,,Done,
[BE-005] Implement Teacher Login and JWT Issuance API,BE-005,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-202
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-201
Deliverable: JwtTokenProvider.java & AuthController.java

Description:
Tạo endpoint POST /api/auth/login xác thực credentials và sinh JWT token.

Acceptance Criteria:
Trả về HTTP 200 kèm JWT token chứa userId, email và role TEACHER; trả về 401 nếu sai mật khẩu.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Backend,,Done,
[QA-008] Test Teacher Login and Invalid Credentials Handling,QA-008,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-202
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-201
Deliverable: Login Test Suite

Description:
Kiểm thử các kịch bản đăng nhập đúng, sai thông tin, tài khoản chưa đăng ký.

Acceptance Criteria:
Test suite kiểm tra cấu trúc JWT claims và thời gian hết hạn (expiration).",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Quality Assurance,,Done,
[FE-007] Implement Axios JWT Bearer Interceptors and 401 Redirect,FE-007,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Frontend Engineer
Master Task: ATC-203
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-202
Deliverable: client.js Interceptors

Description:
Cấu hình client.js tự động gắn header Authorization: Bearer <token> và bắt lỗi 401.

Acceptance Criteria:
Mọi request đều có Bearer token; khi gặp lỗi 401 tự động xóa session và redirect về /login.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Frontend,,Done,
[BE-006] Implement Spring Security Stateless JWT Filter,BE-006,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-203
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-202
Deliverable: JwtAuthenticationFilter.java & SecurityConfig.java

Description:
Tạo JwtAuthenticationFilter trích xuất token, xác thực chữ ký và set SecurityContext.

Acceptance Criteria:
Các endpoint bảo vệ từ chối truy cập không có token (401); SecurityContext lưu Principal.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Backend,,Done,
[QA-009] Test JWT Route Protection and Token Expiration,QA-009,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-203
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-202
Deliverable: Security Filter Test Report

Description:
Kiểm thử truy cập các endpoint bảo vệ khi không có token, token hết hạn hoặc giả mạo.

Acceptance Criteria:
Bảo vệ 100% các endpoint nghiệp vụ khỏi truy cập trái phép.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Quality Assurance,,Done,
[DES-004] Design Workspace Dashboard and Creation Modal in Figma,DES-004,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Designer
Master Task: ATC-204
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-203
Deliverable: Figma Workspace Screens

Description:
Thiết kế giao diện quản lý danh sách Workspace, modal tạo mới và thẻ workspace.

Acceptance Criteria:
Bản vẽ Figma hoàn chỉnh cho Workspace Dashboard, Workspace Card và Create Modal.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Design,,Done,
"[FE-008] Implement Workspace List, Creation Modal and Selector",FE-008,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Frontend Engineer
Master Task: ATC-204
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-203
Deliverable: WorkspaceListPage.jsx & workspaceStore.js

Description:
Xây dựng WorkspaceListPage, CreateWorkspaceModal và quản lý activeWorkspace trong Zustand.

Acceptance Criteria:
Giáo viên xem được danh sách workspace của mình, tạo mới và chọn workspace hoạt động.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Frontend,,Done,
[BE-007] Implement Workspace CRUD API with Ownership Gate,BE-007,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-204
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-203
Deliverable: WorkspaceController.java & WorkspaceService.java

Description:
Tạo các endpoint CRUD cho Workspace kèm phương thức kiểm tra quyền sở hữu findAndAuthorize.

Acceptance Criteria:
Truy cập workspace của giáo viên khác lập tức nhận mã lỗi HTTP 403 Forbidden.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Backend,,Done,
[QA-010] Test Workspace Multi-Tenant Data Isolation and 403 Forbidden,QA-010,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-204
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-203
Deliverable: Workspace Isolation Test Report

Description:
Kiểm thử phân lập dữ liệu đa người dùng: Teacher A không thể đọc/sửa dữ liệu Teacher B.

Acceptance Criteria:
Test suite kiểm tra chặt chẽ các trường hợp vi phạm quyền sở hữu workspace.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Quality Assurance,,Done,
[DES-005] Design Document Upload Drag-and-Drop and File List in Figma,DES-005,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Designer
Master Task: ATC-205
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-204
Deliverable: Figma Document Screens

Description:
Thiết kế khu vực kéo thả tài liệu, thanh tiến trình upload và danh sách tài liệu.

Acceptance Criteria:
Bản vẽ Figma chi tiết cho Document Library, Upload Dropzone và trạng thái PENDING.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Design,,Done,
[FE-009] Implement Document Upload Component with Progress Bar,FE-009,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Frontend Engineer
Master Task: ATC-205
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-204
Deliverable: DocumentUploadModal.jsx & DocumentTable.jsx

Description:
Xây dựng DocumentUploadModal và DocumentTable hiển thị danh sách tài liệu trong workspace.

Acceptance Criteria:
Hỗ trợ kéo thả file .pdf, .docx; hiển thị tiến trình tải lên và cập nhật danh sách.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Frontend,,Done,
[BE-008] Implement Multipart Document Upload API to MinIO,BE-008,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-205
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-204
Deliverable: DocumentController.java & MinioStorageService.java

Description:
Tạo endpoint POST /api/workspaces/{id}/documents lưu file lên MinIO và lưu metadata vào DB.

Acceptance Criteria:
Lưu file an toàn lên MinIO; lưu metadata vào bảng documents với processing_status='PENDING'.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Backend,,Done,
"[QA-011] Test Document Upload, MinIO Storage and Metadata Persistence",QA-011,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-205
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-204
Deliverable: Document Upload Test Report

Description:
Kiểm thử upload file PDF/DOCX hợp lệ, từ chối file sai định dạng hoặc quá dung lượng (50MB).

Acceptance Criteria:
Metadata lưu chính xác dung lượng, loại file và đường dẫn MinIO object key.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Quality Assurance,,Done,
[BE-009] Implement PDF and DOCX Document Parsing Pipeline,BE-009,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-206
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-205
Deliverable: parsers.py in ai-service

Description:
Sử dụng PyMuPDF và python-docx để trích xuất văn bản có cấu trúc kèm thông tin số trang.

Acceptance Criteria:
Trích xuất văn bản chính xác từ PDF và DOCX; giữ lại metadata tiêu đề và trang nguồn.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Backend,,Done,
[BE-010] Implement Structure-Aware Text Chunking with Overlap,BE-010,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-206
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-205
Deliverable: chunking.py in ai-service

Description:
Xây dựng thuật toán băm văn bản StructureAwareChunker (512 tokens / 50 tokens overlap).

Acceptance Criteria:
Không ngắt giữa chừng câu; giữ ranh giới đoạn văn và bảo toàn ngữ cảnh liền kề.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Backend,,Done,
[QA-012] Test Document Parsing Accuracy and Chunk Boundaries,QA-012,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-206
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-205
Deliverable: Chunking Quality Test Report

Description:
Kiểm thử băm chunk trên các giáo trình thực tế có định dạng phức tạp.

Acceptance Criteria:
100% chunk có độ dài trong ngưỡng 100-512 tokens và không bị mất chữ.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Quality Assurance,,Done,
[BE-011] Implement Text Chunk Embedding Generation,BE-011,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-207
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-206
Deliverable: embeddings.py in ai-service

Description:
Tích hợp sinh vector embedding 768 chiều qua Google Gemini text-embedding-004.

Acceptance Criteria:
Sinh vector embedding chuẩn 768 chiều cho từng text chunk theo batch hiệu quả.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Backend,,Done,
[BE-012] Implement Vector Embedding Persistence in pgvector,BE-012,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-207
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-206
Deliverable: ingestion_router.py & models.py

Description:
Lưu các chunks và vector tương ứng vào bảng document_chunks qua SQLAlchemy asyncpg.

Acceptance Criteria:
Toàn bộ chunks được chèn thành công kèm workspace_id, document_id và vector column.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Backend,,Done,
[QA-013] Test Vector Embedding Generation and pgvector Storage,QA-013,,Task,Done,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-207
Sprint: Sprint 2 - Auth & Ingestion
Priority: High
Dependencies: is blocked by ATC-206
Deliverable: Vector Storage Test Report

Description:
Kiểm tra số lượng bản ghi chunk trong database và tính toàn vẹn của vector index.

Acceptance Criteria:
Vector có đúng 768 chiều; HNSW index được cập nhật và liên kết đúng document_id.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Quality Assurance,,Done,
[QA-014] Implement Automated Unit and Integration Tests for Auth and Ingestion,QA-014,,Task,In Progress,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-208
Sprint: Sprint 2 - Auth & Ingestion
Priority: Medium
Dependencies: is blocked by ATC-203, ATC-207
Deliverable: Auth & Ingestion Test Suite

Description:
Viết test suite tự động kiểm thử toàn bộ luồng từ đăng ký, đăng nhập đến tải tài liệu và băm chunk.

Acceptance Criteria:
Bộ test chạy tự động trên CI; đạt tỷ lệ bao phủ code (code coverage) theo yêu cầu.",,,,,,,,,,,,,,,Sprint 2 - Auth & Ingestion,,,Quality Assurance,,In Progress,
